Session,Channel,Network,ADAPT,TP,FP,FN,Precision,Recall,F1,Mean_Latency,Num_Spikes,Num_Ripples,Duration_min
2025-09-24_14-22-55,25,dsb4updn_median_200_15f,0,264,22,0,0.9230769230769231,1.0,0.9600000000000001,22.25454545454598,7643,264,6.399816666666666
2025-09-22_17-55-26,26,dsb4updn_median_200_15f,0,173,142,12,0.5492063492063493,0.9351351351351351,0.6920000000000001,41.13275529865042,2566,185,10.399793333333333
2025-09-24_11-34-51,30,dsb4updn_median_200_15f,0,21,34,50,0.38181818181818183,0.29577464788732394,0.3333333333333333,47.97777777777936,149,71,6.631564999999999
2025-09-24_17-38-17,13,dsb4updn_median_200_15f,0,15,128,0,0.1048951048951049,1.0,0.18987341772151897,42.67777777776876,620,15,10.479719999999999
2025-09-24_16-29-07,5,dsb4updn_median_200_15f,0,36,248,4,0.1267605633802817,0.9,0.22222222222222224,37.37777777777735,1798,40,10.618442222222223
PV01ai32FPGA_250611_115923,29,dsb4updn_median_200_15f,0,112,52,98,0.6829268292682927,0.5333333333333333,0.5989304812834225,40.065773809526824,1110,210,11.266702222222222
Calbai32FPGA_251003_150055,5,dsb4updn_median_200_15f,0,178,190,8,0.483695652173913,0.956989247311828,0.6425992779783394,36.783707865170264,3063,186,11.173404444444445
PV01ai32FPGA_250611_122326,20,dsb4updn_median_200_15f,0,144,172,25,0.45569620253164556,0.8520710059171598,0.5938144329896907,34.98425925925771,2434,169,11.670613333333334
Calbai32FPGA_251003_144832,11,dsb4updn_median_200_15f,0,171,149,22,0.534375,0.8860103626943006,0.6666666666666667,38.421637426900425,2296,193,11.366826666666666
Calb_251210_164150,15,dsb4updn_median_200_15f,0,110,186,8,0.3716216216216216,0.9322033898305084,0.5314009661835748,36.98727272727596,2324,118,10.902613333333333
Calb_251211_105518,12,dsb4updn_median_200_15f,0,124,225,7,0.3553008595988539,0.9465648854961832,0.5166666666666667,39.61881720430064,2867,131,10.845724444444445
Calb_251210_122327,13,dsb4updn_median_200_15f,0,83,207,8,0.28620689655172415,0.9120879120879121,0.4356955380577427,37.726104417670285,1868,91,10.954382222222222
Calb_251210_165332,15,dsb4updn_median_200_15f,0,85,135,6,0.38636363636363635,0.9340659340659341,0.5466237942122186,39.28980392156989,1738,91,11.109688888888888
Calb_251210_115904,15,dsb4updn_median_200_15f,0,54,177,2,0.23376623376623376,0.9642857142857143,0.3763066202090592,38.81358024690929,1329,56,11.571626666666667
Calb_251211_104316,5,dsb4updn_median_200_15f,0,100,350,4,0.2222222222222222,0.9615384615384616,0.3610108303249097,39.98599999999897,3559,104,11.098311111111112
Calb_251210_162849,15,dsb4updn_median_200_15f,0,107,215,6,0.33229813664596275,0.9469026548672567,0.4919540229885059,35.593769470404844,2609,113,11.705315555555556
Calb_251210_121141,15,dsb4updn_median_200_15f,0,57,169,12,0.252212389380531,0.8260869565217391,0.3864406779661017,36.43918128654944,1424,69,10.848568888888888
Calb_251209_160255,11,dsb4updn_median_200_15f,0,66,73,0,0.4748201438848921,1.0,0.6439024390243903,32.392929292928535,1370,66,5.828693333333334
Calb_251211_110650,5,dsb4updn_median_200_15f,0,66,172,2,0.2773109243697479,0.9705882352941176,0.4313725490196078,40.77929292929206,1603,68,10.853688888888888
2025-09-23_15-50-26,28,dsb4updn_median_200_16b,120,128,105,11,0.5493562231759657,0.920863309352518,0.6881720430107527,22.79140625000018,2889,139,10.387617777777779
