Network,Dataset,Channel,TP,FP,FN,Precision,Recall,F1
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,1,75,12,64,0.8620689655172413,0.539568345323741,0.663716814159292
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,2,76,8,63,0.9047619047619048,0.5467625899280576,0.6816143497757848
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,3,52,6,87,0.896551724137931,0.37410071942446044,0.5279187817258884
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,4,46,2,93,0.9583333333333334,0.33093525179856115,0.4919786096256685
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,5,25,3,114,0.8928571428571429,0.17985611510791366,0.2994011976047904
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,6,20,1,119,0.9523809523809523,0.14388489208633093,0.25
dsb4updn_median_200_12b,Thy7_2020-11-11_16-05-00,7,12,1,127,0.9230769230769231,0.08633093525179857,0.15789473684210528
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,0,212,539,12,0.2822902796271638,0.9464285714285714,0.43487179487179484
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,1,191,318,33,0.37524557956778,0.8526785714285714,0.5211459754433834
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,2,159,144,65,0.5247524752475248,0.7098214285714286,0.6034155597722961
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,3,125,62,99,0.6684491978609626,0.5580357142857143,0.608272506082725
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,4,127,105,97,0.5474137931034483,0.5669642857142857,0.5570175438596491
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,5,103,72,121,0.5885714285714285,0.45982142857142855,0.5162907268170426
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,6,75,84,149,0.4716981132075472,0.33482142857142855,0.391644908616188
updnb4ds_100_13b,Amigo2_2019-07-11_11-57-07,7,70,103,154,0.4046242774566474,0.3125,0.35264483627204035
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,0,20,25,11,0.4444444444444444,0.6451612903225806,0.5263157894736842
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,1,24,39,7,0.38095238095238093,0.7741935483870968,0.5106382978723405
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,2,23,36,8,0.3898305084745763,0.7419354838709677,0.5111111111111112
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,3,25,23,6,0.5208333333333334,0.8064516129032258,0.6329113924050633
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,4,25,30,6,0.45454545454545453,0.8064516129032258,0.5813953488372092
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,5,16,12,15,0.5714285714285714,0.5161290322580645,0.5423728813559322
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,6,16,11,15,0.5925925925925926,0.5161290322580645,0.5517241379310345
updnb4ds_100_13b,Dlx1_2021-02-12_12-46-54,7,10,7,21,0.5882352941176471,0.3225806451612903,0.41666666666666663
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,0,56,42,8,0.5714285714285714,0.875,0.691358024691358
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,1,52,63,12,0.45217391304347826,0.8125,0.5810055865921787
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,2,51,32,13,0.6144578313253012,0.796875,0.6938775510204082
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,3,47,31,17,0.6025641025641025,0.734375,0.6619718309859154
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,4,46,27,18,0.6301369863013698,0.71875,0.6715328467153284
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,5,40,31,24,0.5633802816901409,0.625,0.5925925925925926
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,6,39,35,25,0.527027027027027,0.609375,0.5652173913043478
updnb4ds_100_13b,Som2_2019-07-24_12-01-49,7,35,34,29,0.5072463768115942,0.546875,0.5263157894736842
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,0,105,25,34,0.8076923076923077,0.7553956834532374,0.7806691449814126
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,1,94,20,45,0.8245614035087719,0.6762589928057554,0.7430830039525692
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,2,102,19,37,0.8429752066115702,0.7338129496402878,0.7846153846153846
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,3,73,8,66,0.9012345679012346,0.5251798561151079,0.6636363636363636
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,4,63,9,76,0.875,0.45323741007194246,0.5971563981042655
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,5,42,6,97,0.875,0.302158273381295,0.4491978609625669
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,6,34,3,105,0.918918918918919,0.2446043165467626,0.3863636363636364
updnb4ds_100_13b,Thy7_2020-11-11_16-05-00,7,20,5,119,0.8,0.14388489208633093,0.24390243902439024
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,0,208,511,16,0.28929068150208626,0.9285714285714286,0.4411452810180275
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,1,193,311,31,0.38293650793650796,0.8616071428571429,0.5302197802197802
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,2,160,142,64,0.5298013245033113,0.7142857142857143,0.6083650190114068
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,3,128,68,96,0.6530612244897959,0.5714285714285714,0.6095238095238094
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,4,118,102,106,0.5363636363636364,0.5267857142857143,0.5315315315315315
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,5,95,77,129,0.5523255813953488,0.42410714285714285,0.4797979797979798
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,6,76,118,148,0.3917525773195876,0.3392857142857143,0.3636363636363636
updnb4ds_100_7,Amigo2_2019-07-11_11-57-07,7,67,119,157,0.3602150537634409,0.29910714285714285,0.3268292682926829
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,0,20,27,11,0.425531914893617,0.6451612903225806,0.5128205128205128
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,1,25,33,6,0.43103448275862066,0.8064516129032258,0.5617977528089887
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,2,25,34,6,0.423728813559322,0.8064516129032258,0.5555555555555555
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,3,23,22,8,0.5111111111111111,0.7419354838709677,0.6052631578947368
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,4,26,32,5,0.4482758620689655,0.8387096774193549,0.5842696629213483
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,5,19,23,12,0.4523809523809524,0.6129032258064516,0.5205479452054794
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,6,19,17,12,0.5277777777777778,0.6129032258064516,0.5671641791044777
updnb4ds_100_7,Dlx1_2021-02-12_12-46-54,7,12,21,19,0.36363636363636365,0.3870967741935484,0.37500000000000006
updnb4ds_100_7,Som2_2019-07-24_12-01-49,0,51,31,13,0.6219512195121951,0.796875,0.6986301369863013
updnb4ds_100_7,Som2_2019-07-24_12-01-49,1,56,54,8,0.509090909090909,0.875,0.6436781609195402
updnb4ds_100_7,Som2_2019-07-24_12-01-49,2,50,36,14,0.5813953488372093,0.78125,0.6666666666666666
updnb4ds_100_7,Som2_2019-07-24_12-01-49,3,49,30,15,0.620253164556962,0.765625,0.6853146853146853
updnb4ds_100_7,Som2_2019-07-24_12-01-49,4,49,28,15,0.6363636363636364,0.765625,0.6950354609929078
